03:09:42.726  +40:58:26.96 | IC 1884, IC  290, IC 1884
03:16:46.715  +40:00:13.21 | IC  311, IC  311
03:16:06.294  +40:48:16.19 | IC  309, IC  309
03:10:12.930  +40:45:56.50 | IC 1887, IC  292, IC 1887
03:16:43.025  +41:19:29.16 | IC  310, IC  310
03:08:43.523  +40:51:41.96 | NGC  1212, NGC  1212
03:12:33.107  +39:19:08.17 | NGC  1233, NGC  1233
20:23:08  +40:46.5 | NGC  6910, NGC  6910
20:28  +40.0 | IC 1318B, LBN 078.55+00.85
20:27.3  +39:42 | IC 1318c, DWB  67
20:27  +40.5 | IC 1318b, IC 1318b
20:22:56.8  +39:59:19 | NGC  6914H, NGC  6914H
20:27:54.4  +40:13:53 | NGC  6914C, NGC  6914C
20:47.9  +44:22 | IC 5067, IC 5067
20:51.0  +44:22 | NAME PELICAN, NAME PELICAN NEBULA, IC 5070, IC 5070
20:51  +42.5 | IC 5068, IC 5068
20:56:31  +44:36.6 | NGC  6997, NGC  6997
20:58:47  +44:19.8 | NAME NORTH AMER NEB, NAME NORTH AMERICA, NAME NORTH AMERICA NEBULA, NGC  7000, NGC  7000
20:56:25  +45:28.2 | NGC  6996, NGC  6996
21:14:15.224  +46:17:17.52 | NGC  7048, NGC  7048
21:23:27  +46:23.4 | NGC  7062, NGC  7062
21:12:12  +47:45.3 | IC 1369, IC 1369
21:10:48  +45:37.0 | NGC  7039, NGC  7039
21:12:04.7  +45:49:50 | NGC  7039   216, NGC  7039   219, ADS 14746 AB
21:24:13  +48:01.2 | NGC  7067, NGC  7067
21:29:17  +47:07.6 | NGC  7082, NGC  7082
21:31:48  +48:26.0 | M  39, NGC  7092, M  39
22:23:55.73  +50:58:00.5 | IC 5217, HD 212534, GSC 03619-03823, IC 5217
22:10:33.40  +52:50:33.7 | IC 1434, IC 1434
22:28:01.0  +52:19:22 | NGC  7296, NGC  7296
22:57:22  +54:22.5 | NGC  7438, NGC  7438
01:42:19.948  +51:34:31.15 | NAME LITTLE DUMBELL NEBULA, NAME BARBELL NEBULA, NAME CORK NEBULA, M  76, NGC   651, NGC   650, HD  10346, M  76
02:51:00.873  +46:57:17.55 | IC  260, IC  260
02:49:45.60  +46:58:35.2 | IC  257, IC  256, IC  257
03:01:14.08  +44:53:50.6 | NGC  1161, TYC 2859-727-1, NGC  1161
03:05:56.0  +44:23:00 | NGC  1193, NGC  1193
03:01:13.259  +44:57:19.52 | NGC  1160, NGC  1160
03:03:59.005  +43:23:53.77 | NGC  1171, TYC 2859-2259-1, NGC  1171
03:14:47.691  +42:13:21.25 | IC  301, IC  301
03:20:15.522  +41:23:55.28 | NGC  1283, NGC  1283
03:19:51.488  +41:34:24.26 | NGC  1277, NGC  1277
03:19:21.300  +41:29:26.13 | NGC  1272, NGC  1272
03:19:26.730  +41:32:26.13 | NGC  1273, NGC  1273
03:18:58.144  +41:28:12.15 | NGC  1270, NGC  1270
03:18:44.976  +41:28:04.12 | NGC  1267, NGC  1267
03:17:59.577  +41:31:12.70 | NGC  1264, NGC  1264
03:17:27.205  +41:24:18.49 | NGC  1260, NGC  1260
03:19:11.271  +41:21:12.09 | NGC  1271, NGC  1271
03:18:08.359  +41:45:15.76 | IC  312, IC  312
03:19:59.073  +41:28:46.30 | NGC  1279, NGC  1279
03:17:17.305  +41:23:07.22 | NGC  1259, NGC  1259
03:18:45.151  +41:29:19.12 | NGC  1268, NGC  1268
03:20:12.141  +41:22:01.30 | NGC  1282, NGC  1282
03:20:57.870  +41:53:37.77 | IC  313, IC  313
03:20:06.105  +41:37:48.31 | NGC  1281, NGC  1281
03:30:19.481  +41:34:21.85 | NGC  1335, NGC  1335
03:30:01.870  +41:49:55.81 | NGC  1334, NGC  1334
03:29:11.783  +41:23:16.61 | NGC  1330, NGC  1330
03:21:36.475  +41:23:34.02 | NGC  1293, NGC  1293
03:21:19.892  +41:55:55.11 | IC  316, IC  316
03:19:40.538  +41:32:55.07 | NGC  1274, NGC  1274
03:21:20.08  +41:55:54.0 | IC  316N, IC  316N
03:21:18  +41:55.9 | IC  316S, IC  316S
03:16:59.59  +41:31:45.4 | NGC  1257, 2MASS J03165958+4131454
03:18:15.674  +41:51:27.94 | NGC  1265, NGC  1265
03:19:54.163  +41:33:48.27 | NGC  1278, IC 1907, NGC  1278
03:21:39.946  +41:21:38.05 | NGC  1294, NGC  1294
03:19:48.16010  +41:30:42.1031 | NAME PERSEUS A, NAME PER A, NGC  1275, 3C  84
03:25:59.192  +40:47:20.38 | IC  320, IC  320
20:10:48  +41:10.7 | IC 1311, IC 1311
20:16:48  +41:57.4 | NAME GAM CYG NEBULA, IC 1318, IC 1318
20:17  +41.9 | IC 1318A, LBN 078.85+03.60
20:16.0  +41:59 | IC 1318a, DWB  83
20:21:08.5  +41:34:03 | NGC  6914E, NGC  6914E
20:25  +42.3 | NGC  6914, NGC  6914
20:24.1  +42:17 | NGC  6914a, Ced 176d
20:24.6  +42:22 | NGC  6914b, Ced 176e
20:23:15.3  +42:15:50 | NGC  6914A, NGC  6914A
20:24:30.5  +42:25:55 | NGC  6914D, NGC  6914D
20:24:55.9  +42:04:16 | NGC  6914B, NGC  6914B
21:06:18.237  +47:51:07.15 | NGC  7026, HD 201192, NGC  7026
20:56  +47.4 | IC 5076, IC 5076
20:54:54  +47:25.0 | NGC  6991, NGC  6991
21:30:27  +51:36.0 | NGC  7086, NGC  7086
21:21.9  +50:49 | NGC  7058, NGC  7058
21:43:57  +53:42.9 | NGC  7128, NGC  7128
22:10:25  +55:23.9 | NGC  7226, NGC  7226
22:15:15.0  +54:19:58 | NGC  7245, NGC  7245
22:16:30  +54:03.0 | IC 1442, IC 1442
22:55:10  +57:05.7 | NGC  7423, NGC  7423
23:57:24  +56:42.5 | NGC  7789, NGC  7789
00:20  +56.6 | IC   11, IC   11
00:52:49  +56:37.7 | IC 1590, IC 1590
00:54:14.7  +56:33:23 | NGC   281E, NGC   281E
00:52:25.1  +56:33:54 | NGC   281A, NGC   281A
00:52:25.1  +56:33:54 | NGC   281, NGC   281W, NGC   281
01:43:24  +55:50.4 | NGC   657, NGC   657
03:03:34.756  +46:23:10.74 | NGC  1169, NGC  1169
03:14:48  +47:15.2 | NGC  1245, NGC  1245
03:31:14.017  +42:47:32.00 | IC 1934, IC 1934
21:07:06  +50:52.5 | NGC  7031, NGC  7031
21:43:41  +54:36.9 | NGC  7127, NGC  7127
22:12:25  +57:16.2 | NGC  7235, NGC  7235
22:20:07.0  +58:07:41 | NGC  7261, NGC  7261
22:25.3  +57:49 | NGC  7281, NGC  7281
22:54:20  +60:48.9 | NGC  7419, NGC  7419
22:55:53  +59:57.6 | NGC  7429, NGC  7429
22:47:21  +58:07.9 | NGC  7380, NGC  7380
23:09:41.7691  +60:41:40.103 | NGC  7510     2, HD 240207, GSC 04279-01727, TYC 4279-1727-1, PPM  24240, CCDM J23097+6042AB
23:11.0  +60:34 | NGC  7510, NGC  7510
23:05:09.9  +60:14:31 | IC 1470, IC 1470
23:20:00.64795  +61:08:59.4427 | NGC  7654   197, HD 220057, HIP 115198, SAO  20562, GSC 04279-00702, TYC 4279-702-1, PPM  24371, SAO  20562, HD 220057
23:20:48.3  +61:12:06 | NAME BUBBLE NEBULA, NGC  7635, NGC  7635
23:24:48  +61:35.6 | M  52, NGC  7654, M  52
23:56:38.0  +61:24:02 | NGC  7788, NGC  7788
23:58:24  +61:12.5 | NGC  7790, NGC  7790
00:30:06.00117  +60:09:04.0982 | NGC   129   170, NGC   129A, HD 236433, HIP   2354, SAO  21450, GSC 04015-02816, TYC 4015-2816-1, PPM  12260, SAO  21450, HD 236433
00:30:19.93272  +59:58:39.2013 | NGC   129   201, HD   2626, HIP   2377, SAO  21457, GSC 03666-01063, TYC 3666-1063-1, PPM  25407, SAO  21457, HD   2626
00:25:05  +61:20.4 | NGC   103, NGC   103
00:31:36  +61:30.6 | NGC   136, NGC   136
00:39:29  +61:06.9 | NGC   189, NGC   189
00:30:00  +60:13.1 | NGC   129, NGC   129
00:20:23.16  +59:17:34.7 | IC   10, IC   10
00:59:01.37  +60:53:17.8 | IC   63, IC   63
00:57:42.40  +61:04:59.8 | IC   59, IC   59
01:15.2  +60:08 | NGC   433, NGC   433
01:15:58  +58:48.7 | NGC   436, NGC   436
01:19:35  +58:17.2 | NAME ET CLUSTER, NAME OWL CLUSTER, NGC   457, NGC   457
01:58.6  +55:28 | NGC   744, NGC   744
01:58:34.45159  +55:28:28.8036 | NGC   744     4, HIP   9224, GSC 03688-01507, TYC 3688-1507-1, NGC   744     4
20:03:55  +44:09.5 | NAME KITE, NGC  6866, NGC  6866
20:10:23.66  +46:27:39.8 | NGC  6884, NGC  6766, HD 191916, GSC 03559-01827, NGC  6884
21:00:32.503  +54:32:36.18 | NGC  7008, GSC 03956-00738, NGC  7008
21:26:06.1  +57:56:17 | NAME IC 1396 WEST, IC 1396W, IRAS 21246+5743
21:35  +57.4 | IC 1396B, LBN 098.83+04.12
21:36  +57.4 | NAME ELEPHANT TRUNK NEBULA, IC 1396A, NAME ELEPHANT TRUNK NEBULA
21:39:00  +57:29.4 | IC 1396, IC 1396
21:40:41.50  +58:16:06.6 | NAME IC 1396 NORTH, IC 1396N, NAME IC 1396 NORTH
22:40:19.83  +61:17:08.7 | NGC  7354, NGC  7354
23:13:45.35  +61:28:10.3 | NGC  7538B, NGC  7538B
23:13:45  +61:28.3 | NAME NGC 7538 IRS 1-3, NGC  7538N, NAME NGC 7538 IRS 1-3
